tstamp,Oscar Piastri,Lando Norris,Max Verstappen,George Russell,Kimi Antonelli,Charles Leclerc
2025-02-23 14:30:45.282558,0.09106162707373039,0.23755207062712277,0.23415846961816383,0.06304266489719797,0.016069698895364186,0.14900993521155884
2025-02-23 14:32:10.173697,0.09106162707373039,0.23755207062712277,0.23415846961816383,0.06304266489719797,0.016069698895364186,0.14900993521155884
2025-02-24 07:05:11.253017,0.09106162707373039,0.23755207062712277,0.23415846961816383,0.06304266489719797,0.016069698895364186,0.14900993521155884
2025-02-24 18:31:04.890677,0.09202858157863476,0.2400745606399168,0.23664492405934653,0.06371209493905484,0.01624033792564143,0.15059222440140235
2025-02-24 18:38:08.606578,0.09202858157863476,0.2400745606399168,0.23664492405934653,0.06371209493905484,0.01624033792564143,0.15059222440140235
2025-02-25 07:05:11.329187,0.09106162707373039,0.23755207062712277,0.23415846961816383,0.06304266489719797,0.016069698895364186,0.14900993521155884
2025-02-26 07:05:09.463479,0.09392207835831394,0.23830975105840846,0.22176046279046346,0.07603215867101604,0.015653679726385657,0.1506297483105035
2025-03-01 07:05:11.258019,0.09171605308211166,0.3028360243277272,0.1910751105877326,0.05732253317631979,0.015735597342519156,0.1514180121638636
2025-03-02 07:05:08.700058,0.10356594675366959,0.31475924993762333,0.19110383031927125,0.06421088698727515,0.015737962496881162,0.13604001480354905
2025-03-03 07:05:09.756529,0.10664125919106944,0.32410578773756404,0.19220226947227634,0.06611758069846306,0.0162052893868782,0.1271491936508905
2025-03-04 07:05:19.912130,0.10780887314532107,0.3170849210156503,0.19721135331461173,0.06468532388719264,0.01585424605078251,0.12439485362921662
2025-03-05 07:05:09.671573,0.10713221062225081,0.3090352229488004,0.20087289491672028,0.06427932637335049,0.015754736856213356,0.1339152632778135
2025-03-06 07:05:08.621607,0.10477070019066996,0.30814911820785285,0.20678427669211175,0.06286242011440198,0.01540745591039264,0.13096337523833743
2025-03-07 07:05:09.750371,0.10783629996731843,0.3171655881391719,0.1880865697104391,0.06470177998039106,0.01585827940695859,0.12940355996078212
2025-03-08 07:05:08.694411,0.10867120189415867,0.30756000536082645,0.19405571766814048,0.058216715300442146,0.015981059102082158,0.13040544227299042
2025-03-09 07:05:11.536439,0.11787433837217595,0.31136617683216294,0.16839191196025136,0.058937169186087976,0.016178830756965325,0.1398509099330901
2025-03-10 07:05:07.672260,0.11340585141527398,0.31131018035565416,0.17640910220153733,0.05670292570763699,0.015565509017782706,0.13454931523846067
2025-03-11 07:05:09.650700,0.11021792008930051,0.3073384310182418,0.1775733156994286,0.05327199470982858,0.015668233738184878,0.15076979634857146
2025-03-12 07:05:09.815230,0.10961528351498996,0.3056580021091066,0.18481646639155286,0.05676505753454837,0.015582564813405437,0.14449287372430497
2025-03-12 15:29:37.620532,0.10956455420186383,0.3115070658680443,0.19374219950329583,0.056738786997393764,0.01557535329340221,0.1369556927523298
2025-03-13 20:29:30.689684,0.1280841958148952,0.3139318524874882,0.18616888926583602,0.05003288899019343,0.01569659262437441,0.14555022251692634
2025-03-14 07:05:11.126785,0.13349009465383668,0.3140943403619687,0.18203194725523184,0.04449669821794556,0.01953513580300049,0.13809320136603798
2025-03-15 07:05:07.991947,0.13015989793651703,0.3253997448412926,0.1807776360229403,0.05084371013145197,0.015950967884377085,0.1564421850198522
2025-03-16 07:05:11.067803,0.1322045013203092,0.35254533685415784,0.2033915404927834,0.052881800528123676,0.007853732751701537,0.11751511228471928
2025-03-17 07:05:08.255621,0.15428000227698316,0.45761017624528905,0.20249250298854038,0.03521608747626789,0.008019505068853084,0.06479760095633293
2025-03-18 07:05:10.872877,0.1452359097467355,0.4927646937835668,0.19252201989683543,0.0318401802137074,0.008196482035211805,0.04599137141979957
2025-03-18 17:08:23.565585,0.1565430766627709,0.5059014062882229,0.17284964714847617,0.02676381633266728,0.008214636696165204,0.046093239239593645
2025-03-18 17:32:23.228810,0.1565430766627709,0.5059014062882229,0.17284964714847617,0.02676381633266728,0.008214636696165204,0.046093239239593645
2025-03-19 07:05:08.388491,0.14492854211573047,0.5081336080277136,0.17361231607613548,0.032051504506363473,0.008250882348172775,0.0490199480685559
2025-03-20 07:05:19.560022,0.14564914382180186,0.5014865730391382,0.17447553686986683,0.036412285955450464,0.008291906702726344,0.049263680998550635
2025-03-20 13:50:01.669892,0.1445525834046086,0.49771099076437103,0.18069072925576077,0.03613814585115215,0.008229478758183164,0.0488927855633235
2025-03-21 07:05:08.858727,0.14523484953094654,0.5061214453351167,0.1776809329367963,0.03211924556934395,0.008268320641613293,0.0463944658223857
2025-03-21 10:56:21.714957,0.1415150236878934,0.5150072064591057,0.17689377960986677,0.031296591777130275,0.00805654837827116,0.0452061881225215
