tstamp,Any Other Result,Coalition,Labor
2025-05-05 18:01:17.205283,0.0093497836244829,0.3256303951975079,0.6650198211780091
2025-05-05 18:41:53.281138,0.0093497836244829,0.3256303951975079,0.6650198211780091
2025-05-05 18:44:29.443480,0.0093497836244829,0.3256303951975079,0.6650198211780091
2025-05-05 18:45:40.284215,0.0093497836244829,0.3256303951975079,0.6650198211780091
2025-05-05 18:47:18.838163,0.0093497836244829,0.3256303951975079,0.6650198211780091
2025-05-05 18:47:54.615106,0.0093497836244829,0.3256303951975079,0.6650198211780091
2025-05-06 06:34:05.547529,0.0093497836244829,0.3256303951975079,0.6650198211780091
2025-05-06 07:05:09.232599,0.0093497836244829,0.3256303951975079,0.6650198211780091
2025-05-06 08:25:37.296848,0.0093497836244829,0.3256303951975079,0.6650198211780091
2025-05-06 16:57:06.903704,0.009338018235909925,0.2815342811423589,0.7091277006217311
2025-05-06 16:58:14.569087,0.009338018235909925,0.2815342811423589,0.7091277006217311
2025-05-06 20:41:03.207692,0.009338018235909925,0.2815342811423589,0.7091277006217311
2025-05-07 07:05:08.275953,0.009338018235909925,0.2815342811423589,0.7091277006217311
2025-05-07 18:17:06.447273,0.009338018235909925,0.2815342811423589,0.7091277006217311
2025-05-08 07:05:09.821260,0.009338018235909925,0.2815342811423589,0.7091277006217311
2025-05-08 19:03:47.023766,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-09 06:31:54.182704,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-09 07:05:08.031455,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-09 10:08:57.904257,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-09 12:36:38.755914,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-09 15:37:19.161069,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-10 07:05:09.003098,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-11 07:05:09.343360,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-12 07:05:08.706525,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-12 18:59:42.859225,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-13 07:05:07.421838,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-13 20:30:57.917636,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-13 20:34:59.737188,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-13 20:35:00.193555,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-14 07:05:09.077417,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-14 07:05:09.639267,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-15 07:05:07.890813,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-15 07:05:08.294580,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-16 07:05:09.455279,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-16 07:05:09.871233,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-17 07:05:07.065950,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-17 07:05:07.512638,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-17 20:33:52.717126,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-17 20:33:53.158898,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-18 07:05:07.478911,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-18 07:05:07.979901,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-18 18:02:10.566749,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-18 18:02:11.125646,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-19 05:50:02.071921,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-19 05:50:02.641612,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-19 07:05:09.659610,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-19 07:05:10.114538,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-20 07:05:08.185680,0.009333319850747777,0.2655395225142326,0.7251271576350196
2025-05-20 07:05:08.592406,0.009333319850747777,0.2655395225142326,0.7251271576350196
